name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Restaurant Le Metro,"110 Rue Guy Môquet, Malakoff",01 42 53 18 23,https://lemetro-malakoff.eatbu.com/?lang=fr,restaurant,Monday: 7:00 AM – 10:00 PM,Tuesday: 7:00 AM – 10:00 PM,Wednesday: 7:00 AM – 10:00 PM,Thursday: 7:00 AM – 10:00 PM,Friday: 7:00 AM – 10:00 PM,Saturday: 7:00 AM – 10:00 PM,Sunday: 9:00 AM – 8:00 PM
Café Restaurant du Parc,"7 Rue Berthollet, Arcueil",01 45 47 24 09,http://4sq.com/pPwCTG,bar,Monday: 12:00 – 2:00 PM,Tuesday: 12:00 – 2:00 PM,Wednesday: 12:00 – 2:00 PM,Thursday: 12:00 – 2:00 PM,Friday: 12:00 – 2:00 PM,Saturday: Closed,Sunday: Closed
Le Monti,"79 Av. Laplace, Arcueil",07 63 98 60 86,https://lemontiristorante.fr/,restaurant,"Monday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Tuesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Wednesday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Thursday: 12:00 – 2:30 PM, 7:00 – 11:00 PM","Friday: 12:00 – 2:30 PM, 7:00 PM – 12:00 AM",Saturday: 7:00 PM – 12:00 AM,Sunday: 7:00 – 11:00 PM
Restaurant Novecento,"11 Pl. du Château Sainte-Barbe, Fontenay-aux-Roses",01 87 42 59 80,http://www.novecento.paris/,restaurant,"Monday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Tuesday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Wednesday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Thursday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Friday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Saturday: 12:00 – 3:00 PM, 7:00 – 11:00 PM","Sunday: 12:00 – 3:00 PM, 7:00 – 11:00 PM"
Restau,"50 Av. Jean Jaurès, Montrouge",Not Available,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
L'Auberge de Gentilly,"94 Av. Lénine, Gentilly",09 69 80 87 65,https://lauberge-de-gentilly.fr/,restaurant,Monday: 7:00 AM – 8:00 PM,Tuesday: 7:00 AM – 8:00 PM,Wednesday: 7:00 AM – 8:00 PM,Thursday: 7:00 AM – 8:00 PM,Friday: 7:00 AM – 8:00 PM,Saturday: Closed,Sunday: Closed
Le Sequoia,"2 Rue Pablo Neruda, Bagneux",01 47 46 86 14,https://www.ehsasso.com/restaurant-d-application-le-sequoia,restaurant,Monday: 12:00 – 2:00 PM,Tuesday: 12:00 – 2:00 PM,Wednesday: 12:00 – 2:00 PM,Thursday: 12:00 – 2:00 PM,Friday: 12:00 – 2:00 PM,Saturday: Closed,Sunday: Closed
Le Lorada,"2 Rue Condorcet, Cachan",01 88 33 63 91,https://lorada.fr/carte-sur-place/,meal_takeaway,Monday: 10:00 AM – 11:00 PM,Tuesday: 10:00 AM – 11:00 PM,Wednesday: 10:00 AM – 11:00 PM,Thursday: 10:00 AM – 11:00 PM,Friday: 10:00 AM – 11:00 PM,Saturday: 6:00 – 11:00 PM,Sunday: Closed
C'est Mon Plaisir,"35 Rue Gabriel Péri, Châtillon",01 46 54 55 61,https://cestmonplaisir.fr/,restaurant,Monday: 7:00 AM – 11:00 PM,Tuesday: 7:00 AM – 11:00 PM,Wednesday: 7:00 AM – 11:00 PM,Thursday: 7:00 AM – 11:00 PM,Friday: 7:00 AM – 11:00 PM,Saturday: 7:00 AM – 11:00 PM,Sunday: 7:00 AM – 11:00 PM
Le Saint Malo,"3 Rue Victor Hugo, Châtillon",01 42 53 33 94,Not Available,restaurant,Monday: 9:00 AM – 7:00 PM,Tuesday: 9:00 AM – 7:00 PM,Wednesday: 9:00 AM – 7:00 PM,Thursday: 9:00 AM – 7:00 PM,Friday: 9:00 AM – 7:00 PM,Saturday: 9:00 AM – 3:00 PM,Sunday: Closed
