name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Nando's Shirley,"192 - 194 Stratford Rd, Shirley, Solihull",0121 744 9146,https://www.nandos.co.uk/restaurants/shirley?utm_campaign=websitecta_NA&utm_content=Multi-Chan_GB_NA_NA_NA_all_NA_NA_shirley&utm_medium=mybusiness&utm_source=google&utm_term=Local,restaurant,Monday: 11:30 AM – 10:00 PM,Tuesday: 11:30 AM – 10:00 PM,Wednesday: 11:30 AM – 10:00 PM,Thursday: 11:30 AM – 10:00 PM,Friday: 11:30 AM – 10:00 PM,Saturday: 11:30 AM – 10:00 PM,Sunday: 11:30 AM – 10:00 PM
ENTRÉE STEAKHOUSE,"156-158 Stratford Rd, Shirley, Solihull",01564 660833,Not Available,restaurant,Monday: 4:00 – 11:00 PM,Tuesday: 4:00 – 11:00 PM,Wednesday: 4:00 – 11:00 PM,Thursday: 4:00 – 11:00 PM,Friday: 3:00 – 11:00 PM,Saturday: 3:00 – 11:00 PM,Sunday: 3:00 – 11:00 PM
Mugil South Indian Restaurant,"256 Gospel Ln, Solihull, Birmingham",0121 792 7195,http://www.mugil.co.uk/,restaurant,"Monday: 12:30 – 2:30 PM, 5:00 – 10:00 PM","Tuesday: 12:30 – 2:30 PM, 5:00 – 10:00 PM","Wednesday: 12:30 – 2:30 PM, 5:00 – 10:00 PM","Thursday: 12:30 – 2:30 PM, 5:00 – 10:00 PM","Friday: 12:30 – 2:30 PM, 5:00 – 10:00 PM",Saturday: 12:30 – 10:00 PM,Sunday: 12:30 – 10:00 PM
Giancarlo,"1337 Stratford Rd, Hall Green, Birmingham",0121 777 2138,http://www.giancarlos.co.uk/,restaurant,Monday: Closed,Tuesday: 6:00 – 10:00 PM,Wednesday: 6:00 – 10:00 PM,Thursday: 6:00 – 10:00 PM,Friday: 6:00 – 10:00 PM,Saturday: 6:00 – 10:00 PM,Sunday: Closed
Nonno's Kitchen,"1337 Stratford Rd, Hall Green, Birmingham",0121 777 2138,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Tarragon Bistro,"1347 Stratford Rd, Hall Green, Birmingham",0121 820 5915,https://www.tarragon-bistro.co.uk/,restaurant,Monday: Closed,Tuesday: 5:00 – 10:00 PM,Wednesday: 5:00 – 10:00 PM,Thursday: 5:00 – 10:00 PM,Friday: 5:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: 12:00 – 9:00 PM
Wong Chef,"362 Shirley Rd, Acocks Green, Birmingham",0121 708 1661,Not Available,meal_takeaway,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Burger Akhi,"361 Gospel Ln, Solihull, Birmingham",Not Available,Not Available,restaurant,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Fine Diners,"1512 Stratford Rd, Hall Green, Birmingham",0121 745 8889,Not Available,meal_takeaway,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ARABIAN GRILL,"701 Stratford Rd, Birmingham",07376 552155,Not Available,restaurant,Monday: 12:00 – 10:00 PM,Tuesday: 12:00 – 10:00 PM,Wednesday: 12:00 – 10:00 PM,Thursday: 12:00 – 10:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: Closed
