name,address,phone_number,website,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Loppy’s Fish Bar,"2a Jiggins Ln, Bartley Green, Birmingham",0121 257 7919,Not Available,restaurant,Monday: 11:30 AM – 10:00 PM,Tuesday: 11:30 AM – 10:00 PM,Wednesday: 11:30 AM – 10:00 PM,Thursday: 11:30 AM – 10:00 PM,Friday: 11:30 AM – 10:00 PM,Saturday: 11:30 AM – 10:00 PM,Sunday: 11:30 AM – 10:00 PM
Golden Wok,"193 Weoley Ave, Birmingham",0121 472 8688,https://goldenwoksellyoak.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,restaurant,Monday: 4:30 – 10:30 PM,Tuesday: 4:30 – 10:30 PM,Wednesday: 4:30 – 10:45 PM,Thursday: 4:30 – 10:30 PM,Friday: 4:30 – 11:30 PM,Saturday: 4:30 – 11:30 PM,Sunday: 4:30 – 10:30 PM
McDonald's,"727 Bristol Rd S, Northfield, Birmingham",0121 477 7739,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8260160:Clicks:DIRSYN:,restaurant,Monday: 6:00 AM – 12:00 AM,Tuesday: 6:00 AM – 12:00 AM,Wednesday: 6:00 AM – 12:00 AM,Thursday: 6:00 AM – 12:00 AM,Friday: 6:00 AM – 12:00 AM,Saturday: 6:00 AM – 12:00 AM,Sunday: 6:00 AM – 12:00 AM
Mr Souvlaki,"729A Bristol Rd S, Northfield, Birmingham",0121 820 9461,https://mrsouvlaki.co.uk/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,restaurant,Monday: 11:00 AM – 10:00 PM,Tuesday: 11:00 AM – 10:00 PM,Wednesday: 11:00 AM – 10:00 PM,Thursday: 11:00 AM – 10:00 PM,Friday: 11:00 AM – 10:00 PM,Saturday: 11:00 AM – 10:00 PM,Sunday: 11:00 AM – 10:00 PM
Mama's Kitchen,"150, Birmingham",07395 421403,Not Available,restaurant,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: Closed,Friday: Closed,Saturday: Closed,Sunday: 8:00 AM – 5:00 AM
KFC Weoley Castle - Alwood Road,"20 Alwold Rd, Bartley Green, Birmingham",0121 426 3513,https://www.kfc.co.uk/kfc-near-me/weoley-castle-alwood-road?utm_term=20-Alwold-road&utm_medium=organic&utm_source=uberall,meal_takeaway,Monday: 10:30 AM – 10:00 PM,Tuesday: 10:30 AM – 10:00 PM,Wednesday: 10:30 AM – 10:00 PM,Thursday: 10:30 AM – 10:00 PM,Friday: 10:30 AM – 10:00 PM,Saturday: 10:30 AM – 10:00 PM,Sunday: 10:30 AM – 10:00 PM
Ginos,"689 Bristol Rd S, Northfield, Birmingham",0121 475 1053,https://ginosfishbar.co.uk/b7M4,meal_takeaway,Monday: 4:00 – 11:00 PM,Tuesday: Closed,Wednesday: 4:00 – 11:00 PM,Thursday: 4:00 – 11:00 PM,Friday: 4:00 – 11:00 PM,Saturday: 4:00 – 11:00 PM,Sunday: 4:00 – 11:00 PM
Jolly Fryer,"73 Bottetourt Rd, Birmingham",0121 426 6774,http://jollyfryeronline.co.uk/Whf0,restaurant,Monday: 3:30 – 9:00 PM,Tuesday: 3:30 – 9:00 PM,Wednesday: 3:30 – 9:00 PM,Thursday: 3:30 – 9:00 PM,Friday: 3:30 – 9:00 PM,Saturday: 3:30 – 9:00 PM,Sunday: Closed
Keisha's Kuisine,"844 Bristol Rd S, Birmingham",0121 477 7121,http://www.keishaskuisine.com/,restaurant,Monday: 12:00 – 9:00 PM,Tuesday: 12:00 – 9:00 PM,Wednesday: 12:00 – 9:00 PM,Thursday: 12:00 – 9:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: Closed
Tasteology,"115 Grove Ln, Birmingham",0121 572 1211,Not Available,cafe,Monday: 8:00 AM – 5:00 PM,Tuesday: Closed,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: 8:00 AM – 5:00 PM,Sunday: 8:00 AM – 5:00 PM
Blue Marlin Caribean food,"46 Curdale Rd, Birmingham",0121 448 2160,http://www.thebluemarlinonline.co.uk/,restaurant,Monday: 12:00 – 10:00 PM,Tuesday: 12:00 – 10:00 PM,Wednesday: 12:00 – 10:00 PM,Thursday: 12:00 – 10:00 PM,Friday: 12:00 – 10:00 PM,Saturday: 12:00 – 10:00 PM,Sunday: 12:00 – 10:00 PM
DK Northfield,"3 Bristol Rd S, Birmingham",Not Available,https://dappaskitchen.co.uk/CrV7,meal_takeaway,Monday: Closed,Tuesday: Closed,Wednesday: Closed,Thursday: 9:00 AM – 5:30 PM,Friday: Closed,Saturday: Closed,Sunday: Closed
